Prompt Cards,Special,Set,Sheet,Version Comments,,Response Cards,Set,Sheet,Version Comments
,,,,,,"Dwayne ""The Rock"" Johnson.",WTF Did You Say?!?,Stand Alone Games,
,,,,,,"Dwayne ""The Rock"" Johnson's acting career.",Cows Grilling Hamburgers - Patty Pack #1,Third Party Commercial,
,,,,,,Dying a little more each day on the inside,"Guards Against Insanity, Edition 3",Third Party Commercial,
,,,,,,Dying a virgin.,Cats Abiding Horribly: Episode I - The Dirty Goblin,Third Party Commercial,
,,,,,,Dying alone and in pain.,CAH : Third Expansion,CAH Expansions,
,,,,,,Dying alone and in pain.,CAH Base Set,CAH Base Set,
,,,,,,Dying alone and in pain.,CAH: Red Box Expansion,CAH Expansions,
,,,,,,Dying for the 418th time in Dark Souls.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives,
,,,,,,Dying in childbirth.,"Guards Against Insanity, Edition 3",Third Party Commercial,
,,,,,,Dying in line at the VA.,Disgruntled Decks: Air Force Edition,Stand Alone Games,
,,,,,,Dying in line at the VA.,Disgruntled Decks: Army Edition,Stand Alone Games,
,,,,,,Dying in line at the VA.,Disgruntled Decks: Marine Corps/Jarhead Edition,Stand Alone Games,
,,,,,,Dying in line at the VA.,Disgruntled Decks: Navy Edition,Stand Alone Games,
,,,,,,Dying of dysentery.,CAH Base Set,CAH Base Set,
,,,,,,Dying.,CAH Base Set,CAH Base Set,
,,,,,,Dying.,Cards Against/For South Africa,Stand Alone Games,
,,,,,,Dying.,Hilarious!,Stand Alone Games,
,,,,,,Dynamic Dan diving deep.,Hilarious!,Stand Alone Games,
,,,,,,"Dyslexic, atheist pilots who don't nelieve in dog fights.",Disgruntled Decks: Air Force Edition,Stand Alone Games,
,,,,,,E-cigarettes,Conspiracy Theory,Stand Alone Games,
,,,,,,E.coli-infested burritos from Chipotle.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too",Stand Alone Games,
,,,,,,Each other.,Cads About Matrimony,Stand Alone Games,
,,,,,,Each other.,Cads About Matrimony Poly Pack,Stand Alone Games,
,,,,,,eahc actor on his ass,Bards Dispense Profanity,Stand Alone Games,
,,,,,,Ear hair.,Not Parent Approved,Stand Alone Games,
,,,,,,Early childhood deportation.,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
,,,,,,Earning $7k or more per week from the comfort of your home!,Words Against Morality: Volume 4,Third Party Commercial,
,,,,,,Earrings,Kids Create Absurdity,Stand Alone Games,
,,,,,,Earthquake projectors,Conspiracy Theory,Stand Alone Games,
,,,,,,easing yourself gently into a tub of mac and cheese and letting it full up all of your holes,Evil Apples,Stand Alone Games,
,,,,,,Eastern European Turbo-Folk music.,CAH Base Set,CAH Base Set,
,,,,,,eat a crocodile?,Bards Dispense Profanity,Stand Alone Games,
,,,,,,Eating a 20-serving bag of chips in one sitting,Cards Against Profanity,Stand Alone Games,
,,,,,,Eating a banana sensually in the cafeteria.,Words Against Morality: Volume 4,Third Party Commercial,
,,,,,,Eating a dessert before dinner,Kids Create Absurdity,Stand Alone Games,
,,,,,,Eating a firefly to make your teeth glow,Kids Against Maturity,Stand Alone Games,
,,,,,,Eating a gallon of ice cream alone in the dark.,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,
,,,,,,Eating a hard boiled egg out of my husband's arsehole.,CAH Base Set,CAH Base Set,
,,,,,,Eating a hard boiled egg out of my husband's asshole.,CAH Base Set,CAH Base Set,
,,,,,,Eating a hot brown but still being kinda hungry.,Cols Despite Kentucky,Third Party Commercial,
,,,,,,Eating a pizza that's lying in the street to gain health.,Geek Pack,CAH Packs/Commercial Packs,
,,,,,,Eating a pizza that's lying in the street to gain health.,PAX Prime 2013,CAH Packs/Con Exclusives,
,,,,,,eating a plateful of brownies and then…WHAT THE FUCK WHY ARE THE WALLS MOVING,Evil Apples,Stand Alone Games,
,,,,,,Eating a spoonful of cinnamon,Cards Against Profanity,Stand Alone Games,
,,,,,,Eating a teaspoonful of cayenne pepper.,Hilarious!,Stand Alone Games,
,,,,,,Eating all of the cookies before the AIDS bake sale.,Cards Against/For South Africa,Stand Alone Games,
,,,,,,Eating all of the cookies before the AIDS bake sale.,Hilarious!,Stand Alone Games,
,,,,,,Eating all of the cookies before the AIDS bake-sale.,CAH Base Set,CAH Base Set,
,,,,,,Eating all of your vegetables,Kids Create Absurdity,Stand Alone Games,
,,,,,,Eating all the skin off a rotisserie chicken.,Weed Pack,CAH Packs/Commercial Packs,
,,,,,,eating Amsterdam butter,Dick,Stand Alone Games,
,,,,,,Eating an albino.,CAH Base Set,CAH Base Set,
,,,,,,Eating an albino.,CAH: First Expansion,CAH Expansions,
,,,,,,Eating an albino.,CAH: Red Box Expansion,CAH Expansions,
,,,,,,Eating an entire box of chocolates.,"Humanity Hates the Holidays ""Love"" Edition",Stand Alone Games,
,,,,,,Eating an entire pizza as a legit medical condition.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives,
,,,,,,Eating an entire snowman.,2012 Holiday Pack,CAH Packs/Holiday Packs,
,,,,,,Eating ass.,CAH: Green Box Expansion,CAH Expansions,
,,,,,,Eating Bambi for dinner.,Not Parent Approved Expansion Pack #1,Stand Alone Games,
,,,,,,Eating boogers.,Not Parent Approved,Stand Alone Games,
,,,,,,Eating breakfast for dinner everyday.,Not Parent Approved Expansion Pack #2,Stand Alone Games,
,,,,,,"Eating C4 because you want to go out with ""a bang.""","Crows Adopt Vulgarity, Vol. 1",Third Party Commercial,
,,,,,,Eating chocolate in the closet,KinderPerfect: More Expansion Pack,Third Party Commercial,
,,,,,,Eating Cigarette Butts,Personally Incorrect - Expansion [Red Box],Stand Alone Games,
,,,,,,Eating cocaine for breakfast.,Cows Against Hamburgers - Patty Pack #1,Third Party Commercial,
,,,,,,Eating cocaine for breakfast.,Cows Grilling Hamburgers - Patty Pack #1,Third Party Commercial,
,,,,,,Eating copious amounts of pineapple for sex purposes.,Cows Against Hamburgers - Patty Pack #1,Third Party Commercial,
,,,,,,Eating copious amounts of pineapple for sex purposes.,Cows Grilling Hamburgers - Patty Pack #1,Third Party Commercial,
,,,,,,Eating daddy's Viagra,KinderPerfect: A Timeout For Parents (Kickstarter Set),Third Party Commercial,
,,,,,,Eating dirt.,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,
,,,,,,eating five cheeseburgers and sewing your ass shut,Evil Apples,Stand Alone Games,
,,,,,,Eating Flamin' Hot Cheetos® out of the toilet.,Cards and Punishment Vol. Two,Third Party Commercial,
,,,,,,Eating for two.,Fun in the Oven,Stand Alone Games,
,,,,,,Eating grandpa's Viagra,KinderPerfect (Commercial Set),Third Party Commercial,
,,,,,,Eating ice cream with a fork.,WTF Did You Say?!?,Stand Alone Games,
,,,,,,Eating it.,Babies vs. Parents,Stand Alone Games,
,,,,,,Eating junk food but not gaining weight.,WTF Did You Say?!?,Stand Alone Games,
,,,,,,Eating KFC like an alien.,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
,,,,,,Eating lots and lots of sugar,Kids Create Absurdity,Stand Alone Games,
,,,,,,Eating Lucky Charms® daily.,Not Parent Approved,Stand Alone Games,
,,,,,,Eating my placenta.,Babies vs. Parents,Stand Alone Games,
,,,,,,Eating out,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,
,,,,,,Eating out a cum-filled whore.,"Guards Against Insanity, Edition 4",Third Party Commercial,
,,,,,,Eating out Harriet Tubman for the password to the Underground Railroad.,The Worst Card Game: 2016 National Edition,Third Party Commercial,
,,,,,,Eating out of the garbage,Cards for the Masses,Stand Alone Games,
,,,,,,Eating peanut butter from the jar with a spoon.,WTF Did You Say?!?,Stand Alone Games,
,,,,,,Eating people.,CAH: Green Box Expansion,CAH Expansions,
,,,,,,Eating pussy bad.,Absurd Box Expansion,CAH Expansions,
,,,,,,"eating pussy for breakfast, lunch and dinner",Evil Apples,Stand Alone Games,
,,,,,,Eating pussy with a knife and fork.,Crabs Adjust Humidity: Volume 6,Third Party Commercial,
,,,,,,Eating raw cookie dough,Kids Create Absurdity,Stand Alone Games,
,,,,,,Eating solid foods.,Fun in the Oven,Stand Alone Games,
,,,,,,"Eating sushi because fuck it, it's delicious",Cads About Maternity - A game for bad mommies,Stand Alone Games,
,,,,,,Eating tamales in Thanksgiving.,Bad Hombres Against Fake News Pack 1,Third Party Commercial,
,,,,,,Eating the banana peel.,"Crows Adopt Vulgarity, Vol. 2",Third Party Commercial,
,,,,,,Eating the Cheerio in the toilet,KinderPerfect: A Timeout For Parents (Kickstarter Set),Third Party Commercial,
,,,,,,Eating the Cheerio in the toilet,KinderPerfect (Commercial Set),Third Party Commercial,
,,,,,,Eating the last fruit snack,KinderPerfect (Commercial Set),Third Party Commercial,
,,,,,,Eating the last known bison.,CAH Base Set,CAH Base Set,
,,,,,,Eating the last known rhinoceros.,Hilarious!,Stand Alone Games,
,,,,,,Eating the placenta.,Fun in the Oven,Stand Alone Games,
,,,,,,Eating the placenta.,Words Against Morality: Volume 1,Third Party Commercial,
,,,,,,Eating the president's pussy.,Vote For Hillary Pack,CAH Packs/Limited Release Packs,
,,,,,,Eating the refrigerator's entire contents after breaking your diet,Cards Against Profanity,Stand Alone Games,
,,,,,,Eating the umbilical cord of a newborn.,Cats Abiding Horribly: Episode II - A New Low,Third Party Commercial,
,,,,,,Eating their own weight in candy,KinderPerfect: A Timeout For Parents (Kickstarter Set),Third Party Commercial,
,,,,,,Eating their own weight in candy,KinderPerfect (Commercial Set),Third Party Commercial,
,,,,,,Eating thelast known rhinoceros,Cards Against/For South Africa,Stand Alone Games,
,,,,,,Eating three sleeves of Chips Ahoy!,Period Pack,CAH Packs/Commercial Packs,
,,,,,,Eating together like a god damn family for once.,CAH: Blue Box Expansion,CAH Expansions,
,,,,,,Eating together like a god damn family for once.,CAH: Sixth Expansion,CAH Expansions,
,,,,,,Eating Tom Selleck’s mustache to gain his powers.,CAH : Third Expansion,CAH Expansions,
,,,,,,Eating Tom Selleck’s mustache to gain his powers.,CAH: Red Box Expansion,CAH Expansions,
,,,,,,Eating too many Cinnabons and then vomiting and then eating the vomit.,CAH: Green Box Expansion,CAH Expansions,
,,,,,,Eating too much of a lamp.,CAH Base Set,CAH Base Set,
,,,,,,Eating until I hate myself,Cards Against Profanity,Stand Alone Games,
,,,,,,Eating until you're full. Then continuing to eat until you hate yourself.,Words Against Morality: Volume 3,Third Party Commercial,
,,,,,,Eating vagina like it's your job.,Clones Attack Hilarity #2,Third Party Commercial,
,,,,,,Eating warm yellow snow.,WTF Did You Say?!?,Stand Alone Games,
,,,,,,Eating worms,Kids Create Absurdity,Stand Alone Games,
,,,,,,Eating your fat ass out of the Corps.,Disgruntled Decks: Marine Corps/Jarhead Edition,Stand Alone Games,
,,,,,,Eau de baby vomit,KinderPerfect: A Timeout For Parents (Kickstarter Set),Third Party Commercial,
,,,,,,Eau de baby vomit,KinderPerfect (Commercial Set),Third Party Commercial,
,,,,,,eBay®,Conspiracy Theory,Stand Alone Games,
,,,,,,Ebenezer Splooge.,Humanity Hates The Holidays,Stand Alone Games,
,,,,,,Ebola,Conspiracy Theory,Stand Alone Games,
,,,,,,Ebola juices,JadedAid: A Card Game to Save Humanitarians,Third Party Commercial,
,,,,,,Ebola.,2014 Holiday Pack,CAH Packs/Holiday Packs,
,,,,,,Ebola.,Cakes Athirst Hilarity Volume 4,Third Party Commercial,
,,,,,,Eco-guerillas,Conspiracy Theory,Stand Alone Games,
,,,,,,Economically castrating China.,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
,,,,,,Ecstasy,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,
,,,,,,Ecstasy.,CAH Base Set,CAH Base Set,
,,,,,,Ed Balls.,CAH Base Set,CAH Base Set,
,,,,,,Ed Balls.,CAH: UK Conversion Kit,CAH Base Set,
,,,,,,Ed Sheeran`s receding hairline,Pigs Against Profanity: Volume 2,Third Party Commercial,
,,,,,,Ed the Sock,Cards About Toronto,Third Party Commercial,
,,,,,,Edblo mattresses.,Cards Against/For South Africa,Stand Alone Games,
,,,,,,Edblo Mattresses.,Hilarious!,Stand Alone Games,
,,,,,,Edible body paint,The Game Without Decency,Stand Alone Games,
,,,,,,Edible diapers.,Babies vs. Parents,Stand Alone Games,
,,,,,,Edible panties.,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
,,,,,,Edible underpants.,CAH Base Set,CAH Base Set,
,,,,,,Edible underpants.,Cards Against/For South Africa,Stand Alone Games,
,,,,,,Edible underpants.,Hilarious!,Stand Alone Games,
,,,,,,Edible underwear,The Game Without Decency,Stand Alone Games,
,,,,,,Edible underwear.,CAH Base Set,CAH Base Set,
,,,,,,Edible Valentine's day lingerie.,Hilarious!,Stand Alone Games,
,,,,,,"Edward Snowden's crooked, warty baby dick.",Disgruntled Decks: Army Edition,Stand Alone Games,
,,,,,,Egg whites,Cards Against Profanity,Stand Alone Games,
,,,,,,Egghead economists.,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
,,,,,,Egging an MP.,CAH Base Set,CAH Base Set,
,,,,,,Eggs.,CAH: Blue Box Expansion,CAH Expansions,
,,,,,,"Egypt's ""security"" during the Suez Transit.",Disgruntled Decks: Navy Edition,Stand Alone Games,
,,,,,,Eight beautiful men jerking each other off in front of a fountain.,Hidden Compartment Pack,CAH Packs/Limited Release Packs,
,,,,,,Eight consecutive days of vacation.,WTF Did You Say?!?,Stand Alone Games,
,,,,,,eight or ten lazy fellows,Dick,Stand Alone Games,
,,,,,,eight wild-boars roasted whole at breakfast,Bards Dispense Profanity,Stand Alone Games,
,,,,,,"Eish, that thing with the dongle.",Cards Against/For South Africa,Stand Alone Games,
,,,,,,"Eish, that thing with the dongle.",Hilarious!,Stand Alone Games,
,,,,,,Either a queef or a fart.,Cards and Punishment Vol. One,Third Party Commercial,
,,,,,,Ejaculating a pound of tinsel.,Reject Pack,CAH Packs/Limited Release Packs,
,,,,,,Ejaculating a quart of hollandaise sauce.,Absurd Box Expansion,CAH Expansions,
,,,,,,Ejaculating at the apex of a cartwheel.,CAH: Green Box Expansion,CAH Expansions,
,,,,,,Ejaculating coco pop`s flavoured jizz,Pigs Against Profanity: Volume 2,Third Party Commercial,
,,,,,,Ejaculating inside another man's wife.,CAH: Blue Box Expansion,CAH Expansions,
,,,,,,Ejaculating inside another man's wife.,CAH: Sixth Expansion,CAH Expansions,
,,,,,,Ejaculating into ham slices and sticking them all over a woman,Pigs Against Profanity: Volume 1,Third Party Commercial,
,,,,,,Ejaculating into the tuna fish slad.,Cakes Athirst Hilarity Volume 1,Third Party Commercial,
,,,,,,Ejaculating live bees and the bees are angry.,CAH: Blue Box Expansion,CAH Expansions,
,,,,,,Ejaculating live bees and the bees are angry.,CAH: Fifth Expansion,CAH Expansions,
,,,,,,"ejaculating on your partner's face, letting it dry, and then peeling it off in one piece",Evil Apples,Stand Alone Games,
,,,,,,Ejecting.,Disgruntled Decks: Air Force Edition,Stand Alone Games,
,,,,,,El Chapo unleashing a Bad Hombre revolution from jail.,Bad Hombres Against Fake News Pack 1,Third Party Commercial,
,,,,,,El Chapo., 2016 Election Game ,Stand Alone Games,
,,,,,,El Chapo's escape.,Humanity Hates Trump: Base Set,Stand Alone Games,
,,,,,,El Niño,Conspiracy Theory,Stand Alone Games,
,,,,,,El Niño.,Crabs Adjust Humidity: Volume 6,Third Party Commercial,
,,,,,,El Rio Grande.,Bad Hombres Against Fake News Pack 1,Third Party Commercial,
,,,,,,elastic stuff,Dick,Stand Alone Games,
,,,,,,Elbow Grease,Personally Incorrect - Expansion [Red Box],Stand Alone Games,
,,,,,,Elderly Asian tourists.,Hilarious!,Stand Alone Games,
,,,,,,Elderly Japanese men.,CAH Base Set,CAH Base Set,
,,,,,,Elderly Japanese men.,Cards Against/For South Africa,Stand Alone Games,
,,,,,,Elderly Korean men.,Cakes Athirst Hilarity Volume 1,Third Party Commercial,
,,,,,,Electing a chimpanzee as president.,Hilarious!,Stand Alone Games,
,,,,,,Electing Snoop Dogg as District Comptroller of the Cannabis Cup.,The Worst Card Game: Colorado Edition,Third Party Commercial,
,,,,,,Electoral fraud.,Humanity Hates Trump: Base Set,Stand Alone Games,
,,,,,,Electric Avenue,Kids Against Maturity,Stand Alone Games,
,,,,,,Electricity.,CAH Base Set,CAH Base Set,
,,,,,,Electro-Stalin.,Fascism Pack,CAH Packs/Limited Release Packs,
,,,,,,Electroejaculating a capuchin monkey.,Science Pack,CAH Packs/Commercial Packs,
,,,,,,Elephant dung,Kids Create Absurdity,Stand Alone Games,
,,,,,,elephants with holes,Bards Dispense Profanity,Stand Alone Games,
,,,,,,Elf cum.,2012 Holiday Pack,CAH Packs/Holiday Packs,
,,,,,,Elf cum.,Seasons Greetings Pack,CAH Packs/Holiday Packs,
,,,,,,Eliminate liberal bias!,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
,,,,,,Eliminate liberal bias!,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
,,,,,,Eliminate liberal bias!,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
,,,,,,Eliminate liberal bias!,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
,,,,,,Eliminating America's casino deserts.,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
,,,,,,Eliminating the party crashers by any means necessary.,"Crows Adopt Vulgarity, Vol. 2",Third Party Commercial,
,,,,,,Elimination communication (poop talk).,Fun in the Oven,Stand Alone Games,
,,,,,,Elizabeth Laird: The Patron Saint of Hugs.,Disgruntled Decks: Army Edition,Stand Alone Games,
,,,,,,Elizabeth Warren's vibrator.,Cows Against Hamburgers - Patty Pack #1,Third Party Commercial,
,,,,,,Elizabeth Warren's vibrator.,Cows Grilling Hamburgers - Patty Pack #1,Third Party Commercial,
,,,,,,Ellen pretending to be straight,The Game Without Decency,Stand Alone Games,
,,,,,,Elli the shit-head cat.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives,
,,,,,,Elon Musk.,Absurd Box Expansion,CAH Expansions,
,,,,,,Elon Musk.,Cakes Athirst Hilarity Volume 2,Third Party Commercial,
,,,,,,Elon Musk.,Cows Against Hamburgers - Patty Pack #1,Third Party Commercial,
,,,,,,Elon Musk.,Cows Grilling Hamburgers - Patty Pack #1,Third Party Commercial,
,,,,,,Eloping to a Himalayan mountaintop.,Cads About Matrimony Poly Pack,Stand Alone Games,
,,,,,,Eloping to a Himalayan mountaintop.,Cads About Matrimony: Expansion 1,Stand Alone Games,
,,,,,,Eloping with your MTL after their court-martial.,Disgruntled Decks: Air Force Edition,Stand Alone Games,
,,,,,,Elton John's sunglass collection.,"Crows Adopt Vulgarity, Vol. 3",Third Party Commercial,
